,outputs
0,"{'ID': 1, 'name': 'Назаров', 'address': 'ул. Большая Ордынка, 13/9с1, Москва', 'website': 'nazarov-gallery.ru', 'opening_hours': {'mon': '10:00-20:00', 'tue': '10:00-20:00', 'wed': '10:00-20:00', 'thu': '10:00-20:00', 'fri': '10:00-20:00', 'sat': '10:00-20:00', 'sun': '10:00-19:00'}, 'ypage': 'https://yandex.ru/maps/org/nazarov/1108781527/?ll=37.625067%2C55.743584&z=14', 'goods': None, 'rating': '4,7', 'reviews': None, 'phone': ['+7 (495) 646-71-07Показать телефон'], 'social': ['https://t.me/gallerynazarov', 'https://vk.com/nasarovru', 'https://www.youtube.com/channel/UCwzDaHmhUx0m389VdknSE6A']}"
1,"{'ID': 2, 'name': 'Sonos Center', 'address': 'Николоямский пер., 4/6с3, Москва', 'website': 'sonoscenter.ru', 'opening_hours': {'mon': '10:00-20:00', 'tue': '10:00-20:00', 'wed': '10:00-20:00', 'thu': '10:00-20:00', 'fri': '10:00-20:00', 'sat': '11:00-19:00', 'sun': '11:00-19:00'}, 'ypage': 'https://yandex.ru/maps/org/sonos_center/6081525809/?ll=37.660564%2C55.748382&z=14', 'goods': None, 'rating': '4,1', 'reviews': None, 'phone': ['8 (800) 350-37-83Показать телефон'], 'social': ['https://vk.com/soundprolab', 'https://www.youtube.com/channel/UCaFy9GlumeU3Bw-lQyGGDxw']}"
2,"{'ID': 3, 'name': 'Acer', 'address': 'Ходынский бул., 4, Москва', 'website': 'aspirestore.ru', 'opening_hours': {'mon': '10:00-22:00', 'tue': '10:00-22:00', 'wed': '10:00-22:00', 'thu': '10:00-22:00', 'fri': '10:00-23:00', 'sat': '10:00-23:00', 'sun': '10:00-22:00'}, 'ypage': 'https://yandex.ru/maps/org/acer/225721129763/?ll=37.530463%2C55.790232&z=16', 'goods': None, 'rating': '4,3', 'reviews': None, 'phone': ['+7 (495) 660-02-92Показать телефон'], 'social': ['http://youtube.com/channel/UCDVFkz-zoNZMB_RX9bytzgQ', 'https://vk.com/acer']}"
3,"{'ID': 4, 'name': 'NF-Moscow', 'address': 'Можайское ш., 4, корп. 1, Москва', 'website': 'www.nf-moscow.ru', 'opening_hours': {'mon': '10:00-19:00', 'tue': '10:00-19:00', 'wed': '10:00-19:00', 'thu': '10:00-19:00', 'fri': '10:00-19:00', 'sat': 'выходной', 'sun': 'выходной'}, 'ypage': 'https://yandex.ru/maps/org/nf_moscow/177294372215/?ll=37.444588%2C55.723211&z=14', 'goods': None, 'rating': '3,9', 'reviews': None, 'phone': ['+7 (495) 796-31-35Показать телефон'], 'social': []}"
4,"{'ID': 5, 'name': 'IVenue.ru', 'address': 'Багратионовский пр., 7, корп. 3, Москва', 'website': 'ivenue.ru', 'opening_hours': {'mon': '10:00-20:00', 'tue': '10:00-20:00', 'wed': '10:00-20:00', 'thu': '10:00-20:00', 'fri': '10:00-20:00', 'sat': '10:00-20:00', 'sun': '10:00-20:00'}, 'ypage': 'https://yandex.ru/maps/org/ivenue_ru/1004982995/?ll=37.504232%2C55.742184&z=16', 'goods': None, 'rating': '4,1', 'reviews': None, 'phone': ['+7 (495) 669-56-27Показать телефон'], 'social': []}"
5,"{'ID': 6, 'name': 'Медиа Парк', 'address': 'Багратионовский пр., 7, корп. 24А, Москва', 'website': 'mtpark.ru', 'opening_hours': {'mon': '10:00-19:15', 'tue': '10:00-19:15', 'wed': '10:00-19:15', 'thu': '10:00-19:15', 'fri': '10:00-19:15', 'sat': '10:00-19:15', 'sun': '10:00-19:15'}, 'ypage': 'https://yandex.ru/maps/org/media_park/1137264556/?ll=37.506440%2C55.743215&z=14', 'goods': None, 'rating': '4,5', 'reviews': None, 'phone': ['+7 (495) 477-37-04Показать телефон'], 'social': ['https://wa.me/79254592596']}"
6,"{'ID': 7, 'name': 'AVComfort', 'address': '5-й Донской пр., 23, Москва', 'website': 'www.avcomfort.ru', 'opening_hours': {'mon': '11:00-20:00', 'tue': '11:00-20:00', 'wed': '11:00-20:00', 'thu': '11:00-20:00', 'fri': '11:00-20:00', 'sat': '11:00-20:00', 'sun': '11:00-20:00'}, 'ypage': 'https://yandex.ru/maps/org/avcomfort/1307845218/?ll=37.603795%2C55.701986&z=15', 'goods': None, 'rating': '4,3', 'reviews': None, 'phone': ['+7 (495) 249-60-90Показать телефон'], 'social': ['http://vk.com/avcomfort', 'https://www.youtube.com/channel/UCfKQQ_NbHdrjeOvkThZ0q7g']}"
7,"{'ID': 8, 'name': 'Гаджетлаб24', 'address': 'Волгоградский просп., 9, стр. 1, Москва', 'website': 'gadgetlab24.ru', 'opening_hours': {'mon': 'выходной', 'tue': 'выходной', 'wed': 'выходной', 'thu': 'выходной', 'fri': 'выходной', 'sat': 'выходной', 'sun': 'выходной'}, 'ypage': 'https://yandex.ru/maps/org/gadzhetlab24/61299755516/?ll=37.674369%2C55.730818&z=14', 'goods': None, 'rating': '5,0', 'reviews': None, 'phone': ['+7 (995) 795-79-05Показать телефон'], 'social': ['https://t.me/gadgetlab24', 'https://viber.click/79957957905', 'https://vk.com/gadgetlab24', 'https://wa.me/79957957905']}"
8,"{'ID': 9, 'name': 'restore:', 'address': 'просп. Вернадского, 86А, Москва', 'website': 're-store.ru', 'opening_hours': {'mon': '10:00-22:00', 'tue': '10:00-22:00', 'wed': '10:00-22:00', 'thu': '10:00-22:00', 'fri': '10:00-22:00', 'sat': '10:00-22:00', 'sun': '10:00-22:00'}, 'ypage': 'https://yandex.ru/maps/org/restore_/240104701560/?ll=37.480993%2C55.663020&z=16', 'goods': None, 'rating': '4,3', 'reviews': None, 'phone': ['+7 (495) 419-51-36Показать телефон'], 'social': ['https://vk.com/re_store', 'https://www.youtube.com/user/restoreapr']}"
9,"{'ID': 10, 'name': 'Компоненты и микросхемы', 'address': 'ул. Хромова, 36, стр. 5, Москва', 'website': 'kimkit.ru', 'opening_hours': {'mon': '10:00-18:00', 'tue': '10:00-18:00', 'wed': '10:00-18:00', 'thu': '10:00-18:00', 'fri': '10:00-18:00', 'sat': 'выходной', 'sun': 'выходной'}, 'ypage': 'https://yandex.ru/maps/org/komponenty_i_mikroskhemy/1635973150/?ll=37.723510%2C55.800545&z=15', 'goods': None, 'rating': '4,6', 'reviews': None, 'phone': ['+7 (499) 161-66-13Показать телефон'], 'social': ['https://viber.click/79858170117', 'https://vk.com/kimkitru', 'https://wa.me/79858170117']}"
